date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:30:20	364/364	---MCZ	200	added ('OK')	text/plain	date:Sat,%2016%20Jun%202018%2003:00:16%20GMT	https://countpatients.wordpress.com/robots.txt		(from )
08:30:20	28694/28694	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jun%202018%2003:00:16%20GMT	https://countpatients.wordpress.com/	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.wordpress.com/index.html	(from )
08:30:21	5605/5605	---MCZ	200	added ('OK')	text/css	etag:W/%22575f1ca1-1f6c%22	https://s2.wp.com/wp-content/mu-plugins/global-print/global-print.css?m=1465851035h&cssminify=yes	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/s2.wp.com/wp-content/mu-plugins/global-print/global-printa1cf.css	(from https://countpatients.wordpress.com/)
08:30:21	6378/6378	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2016%20Jun%202018%2003:00:17%20GMT	https://countpatients.wordpress.com/feed/	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.wordpress.com/feed/index.html	(from https://countpatients.wordpress.com/)
08:30:21	865/865	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22e84fa703c7ef130d016e90751783d1d9%22	https://countpatients.wordpress.com/comments/feed/	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.wordpress.com/comments/feed/index.html	(from https://countpatients.wordpress.com/)
08:30:21	12003/12003	---MCZ	200	added ('OK')	text/css	etag:W/%225a6b5b74-2ee3%22	https://s0.wp.com/_static/??/wp-content/mu-plugins/actionbar/actionbar.css,/wp-content/themes/h4/global.css?m=1516985148j&cssminify=yes	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/s0.wp.com/_static/index77c1.html	(from https://countpatients.wordpress.com/)
08:30:21	890/890	---MCZ	200	added ('OK')	text/xml	date:Sat,%2016%20Jun%202018%2003:00:18%20GMT	https://countpatients.wordpress.com/xmlrpc.php?rsd	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.wordpress.com/xmlrpc0db0.php	(from https://countpatients.wordpress.com/)
08:30:22	10046/10046	---M--	200	added ('OK')	image/png	etag:%225645646f-273e%22	https://s2.wp.com/i/webclip.png	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/s2.wp.com/i/webclip.png	(from https://countpatients.wordpress.com/)
08:30:22	1396/1396	---MCZ	200	added ('OK')	application/xml	date:Sat,%2016%20Jun%202018%2003:00:18%20GMT	https://countpatients.wordpress.com/osd.xml	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.wordpress.com/osd.xml	(from https://countpatients.wordpress.com/)
08:30:22	8223/8223	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Jun%202018%2022:04:50%20GMT	https://countpatients.files.wordpress.com/2018/06/image.png	C:/Users/Mehar%20Parmar/Desktop/Count_Patients/countpatients.files.wordpress.com/2018/06/image.png	(from https://countpatients.wordpress.com/)
